Field|Data
Brand| Nosfet
Model| Aero
Year| 2025
Wheel diameter| 16 inches                     
Dimensions| 470 x 214 x 610 mm (L x W x H)
Pedal height| 160 mm
Controller position| Top                          
Tire dimension| 3.0 R10
Tubeless| Yes
RGB| No                           
Water rating| IPX6   
Suspension| 70 mm, spring-oil suspension 
Max. Load| 120 kg                        
Net weight| 24.5 kg
Trolley| Included, Scorpion
Range| 55 km                         
Max speed| 55 km/h                      
Motor power| 2000 W                        
Battery| 1100 Wh                        
Tension| 126 V                        
Battery architecture| 30s2p                         
Cells| SAMSUNG 50S (21700) li-ion     
Smart BMS| Yes    
