Field|Data
Brand| Leaperkim
Model| Lynx
Year| 2024
Wheel diameter| 20 inches                     
Dimensions| 588 x 203 x 725 mm (L x W x H)
Pedal height| 220 mm
Controller position| Top                          
Tire dimension| 2.75 R14
Tubeless| Yes
RGB| No                           
Water rating| IPX6   
Suspension| 90 mm, mid-mounted spring oil fork shocks
Max. Load| 120 kg                        
Net weight| 40 kg
Trolley| Included, Rear
Range| 100 km                         
Max speed| 125 km/h                      
Motor power| 3200 W                        
Battery| 2700 Wh                        
Tension| 151.2 V                        
Battery architecture| 36s4p                         
Cells| SAMSUNG 50S (21700) li-ion     
Smart BMS| Yes    
