stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-486.875,3.02,-3998.0,-34.29,-157.59,26.0,20.0,,39.0
max,0,398.1308411214953,54.86,6464.0,55.46,129.5,38.0,84.0,,100.0
mean,0,35.091334335104065,33.65464399883755,1221.8930543446672,10.251015402499274,18.27976169718105,33.712176692821856,69.54617843650102,,63.69723917465853
std_dev,0,45.54838231768094,11.23244309514349,1314.6807051080498,10.93766275385845,28.082390778034124,1.833620930366583,14.042679492050285,,12.087610122119132
min,1,-161.32344552196233,3.06,-3155.0,-25.8,-140.09,27.0,24.0,,43.0
max,1,489.6202531645569,55.11,6809.0,53.93,96.8,45.0,92.0,,100.0
mean,1,43.04070780053503,39.773268821022725,1755.8048650568182,14.046427556818184,23.421390269886366,41.30131392045455,67.70330255681819,,60.11700994318182
std_dev,1,44.198434116357056,11.604885347797984,1457.3252834578445,11.659524592100928,25.84180374265317,3.0512019133680357,18.541726851208722,,11.766899947385085
min,2,-161.46341463414635,3.09,-3170.0,-24.94,-121.8,28.0,24.0,,49.0
max,2,264.4012944983819,51.37,5395.0,42.95,88.1,43.0,76.0,,100.0
mean,2,38.33635315745868,39.49739155251141,1548.8541666666667,12.171863584474886,20.681706621004565,39.379851598173516,53.04195205479452,,61.306221461187214
std_dev,2,37.51823009730405,9.799631521132968,1250.6488086647919,9.856275225847751,21.877327611702206,3.3652612962466546,15.144812756354849,,9.98666573693603
min,3,-153.91061452513966,3.09,-3525.0,-27.91,-130.3,37.0,54.0,,41.0
max,3,320.59553349875927,57.63,7580.0,61.43,111.0,47.0,88.0,,100.0
mean,3,43.1738276501417,44.92791601866252,1936.461897356143,15.815110419906688,25.34201866251944,44.08709175738725,70.92317262830483,,55.97293934681182
std_dev,3,36.44504285524873,10.88429309445212,1434.821237700909,11.751031269018009,22.59792935648413,1.5544078189723907,9.150066454905238,,10.788263774084887
min,4,-229.28452579034942,3.16,-3278.0,-27.23,-162.7,29.0,23.0,,29.0
max,4,447.7848101265823,55.26,6468.0,53.54,101.3,40.0,85.0,,99.0
mean,4,39.37591391596987,41.41057386698058,1673.702373945458,13.795825976064352,22.885705316853052,36.43525603296057,67.80831861879537,,56.36962919364332
std_dev,4,35.55400382195753,11.290881945304525,1377.4588924511236,11.381290140401921,22.4755120115729,1.2782957120999952,13.83255903481691,,12.857951402705659
