Field|Data
Brand| Nosfet
Model| Apex
Year| 2024
Wheel diameter| 20 inches                     
Dimensions| 545 x 207 x 735 mm (L x W x H)
Pedal height| 225 - 313 mm
Controller position| Top                          
Tire dimension| 2.75 R14
Tubeless| Yes
RGB| No                           
Water rating| IPX6   
Suspension| 55 - 150 mm, spring suspension, adjustable
Max. Load| 120 kg                        
Net weight| 38.8 kg
Trolley| Included, Central
Range| 100 km                         
Max speed| 125 km/h                      
Motor power| 3200 W                        
Battery| 2700 Wh                        
Tension| 151.2 V                        
Battery architecture| 36s4p                         
Cells| SAMSUNG 50S (21700) li-ion     
Smart BMS| Yes    
