Field|Data
Brand| Begode
Model| Blitz
Year| 2024
Wheel diameter| 20 inches                     
Dimensions| 514 x 334 x 810 mm (L x W x H)
Pedal height| 243 mm
Controller position| Top                          
Tire dimension| 90/90 R14
Tubeless| No (tubeless rim) 
RGB| yes                           
Water rating| IP67   
Suspension| 100 - 130 mm, air shock 
Max. Load| 120 kg                        
Net weight| 35.9 kg
Trolley| Included, Central
Range| 100 km                         
Max speed| 122 km/h (150km/h Race mode)                       
Motor power| 3500 W                        
Battery| 2400 Wh                        
Tension| 134.4 V                        
Battery architecture| 32s4p                         
Cells| SAMSUNG 50S (21700) li-ion         
