Field|Data
Brand| Begode
Model| Extreme C36
Year| 2025
Wheel diameter| 18 inches                     
Dimensions| 460 x 336 x 565 mm (L x W x H)
Pedal height| 120 - 230 mm
Controller position| Top                          
Tire dimension| 3.0 R12
Tubeless| No 
RGB| No                           
Water rating| IP55   
Suspension| 130 mm, spring-air shock 
Max. Load| 120 kg                        
Net weight| 39 kg
Trolley| Included, Central
Range| 70-90 km                         
Max speed| 70 km/h                       
Motor power| 3500 W                        
Battery| 2400 Wh                        
Tension| 134.4V                        
Battery architecture| 32s4p                         
Cells| SAMSUNG 50S (21700) li-ion
Smart BMS| Yes
