Field|Data
Wheel diameter| 22 inches                     
Dimensions| 560 x 330 x 780 mm (L x W x H)
Pedal height| 195 - 275 mm
Controller position| Top                          
Tire dimension| 2.75 R17
Tubeless| No 
RGB| No                           
Water rating| NONE   
Suspension| 80 mm, air shock 
Max. Load| 120 kg                        
Net weight| 53.5 kg
Trolley| Included, Central
Range| 150-200 km                         
Max speed| 122 km/h                       
Motor power| 4500 W                        
Battery| 4800 Wh                        
Tension| 134.4 V                        
Battery architecture| 32s8p                         
Cells| SAMSUNG 50E (21700) li-ion         
