Field|Data
Wheel diameter| 11 inches                     
Dimensions| 478 x 472 x 633 mm (L x W x H)
Pedal height| 160 mm
Controller position| Top                          
Tire dimension| 1010/50 6.5
Tubeless| Yes
RGB| ni                           
Water rating| No   
Suspension| No
Max. Load| 100 kg                        
Net weight| 13 kg
Trolley| Optional, rear
Range| 45 km                         
Max speed| 45 km/h                      
Motor power| 1000 W                        
Battery| 750 Wh                        
Tension| 84 V                        
Battery architecture| 20s2p                         
Cells| SAMSUNG 50E (21700) li-ion         
