Field|Data
Wheel diameter| 20 inches                     
Dimensions| 582 x 330 x 747 mm (L x W x H)
Pedal height| 277 mm
Controller position| Top                          
Tire dimension| 2.75-3.00 R14
Tubeless| No 
RGB| No                           
Water rating| No   
Suspension| 130 mm, coil shock 
Max. Load| 120 kg                        
Net weight| 35 kg
Trolley| Included, Central
Range| 100 km                         
Max speed| 70 km/h (150km/h Race mode)                       
Motor power| 4000 W                        
Battery| 2200 Wh                        
Tension| 126.0 V                        
Battery architecture| 30s4p                         
Cells| SAMSUNG 50E (21700) li-ion         
