Field|Data
Brand| Begode
Model| T4 v3
Year| 2022
Wheel diameter| 18 inches                     
Dimensions| 450 x 270 x 600 mm (L x W x H)
Pedal height| 150 - 230 mm
Controller position| Top                          
Tire dimension| 3.0 R12
Tubeless| No 
RGB| No                           
Water rating| NONE   
Suspension| 100 mm, air shock 
Max. Load| 120 kg                        
Net weight| 35 kg
Trolley| Included, Central
Range| 70-90 km                         
Max speed| 70 km/h                       
Motor power| 2500 W                        
Battery| 1800 Wh                        
Tension| 100.8V                        
Battery architecture| 24s4p                         
Cells| SAMSUNG 50E (21700) li-ion
Smart BMS| No
