Field|Data
Wheel diameter| 16 inches                     
Dimensions| 478 x 472 x 633 mm (L x W x H)
Pedal height| 160 mm
Controller position| Top                          
Tire dimension| 90/90 R10
Tubeless| Yes
RGB| yes                           
Water rating| IPX6 (Frame) IP67 (Battery)   
Suspension| 60 mm, air suspension 
Max. Load| 120 kg                        
Net weight| 23.5 kg
Trolley| Included, Scorpion
Range| 45 km                         
Max speed| 45 km/h                      
Motor power| 1000 W                        
Battery| 750 Wh                        
Tension| 84 V                        
Battery architecture| 20s2p                         
Cells| SAMSUNG 50GB (21700) li-ion         
