stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,0.0,3.02,0.0,0.0,0.0,18.0,,,
max,0,192.50282977797127,35.1,4421.79,55.62,99.6,36.0,,,
mean,0,20.431805876490284,23.763203817314242,480.4208895705521,6.05914110429448,12.24212678936605,28.116734832992503,,,
std_dev,0,18.44584386364206,8.294732280055221,411.1121030649796,5.203792632191329,10.590343166076496,4.648457110629014,,,
min,1,0.0,3.02,0.0,0.0,0.0,36.0,,,
max,1,248.7383177570093,49.72,3891.53,49.2,149.2,47.0,,,
mean,1,22.02881185004755,19.02905975684176,388.26700417781535,5.212098765432098,13.217199455475754,37.58864948598789,,,
std_dev,1,19.328651980624034,9.2664819197291,342.0220124327742,4.624259955531749,11.59716132058559,2.813986682948694,,,
min,2,0.0,3.02,0.0,0.0,0.0,18.0,,,
max,2,192.50282977797127,35.1,4421.79,55.62,99.6,37.0,,,
mean,2,20.795914008830433,24.47942564477776,499.19019937808673,6.398257728187304,12.462355953905249,30.568227547100786,,,
std_dev,2,17.189889580672965,7.473564310578262,390.2224789908865,5.015423538891272,9.890043080629523,4.933626984923597,,,
min,3,0.0,3.1,0.0,0.0,0.0,22.0,,,
max,3,167.6575422248107,32.54,3641.84,45.58,81.8,35.0,,,
mean,3,16.72822287013055,22.056472198460224,365.77646193327627,4.5522720273738235,10.049478186484174,31.20239520958084,,,
std_dev,3,15.041145662153633,6.067018298106344,331.8577226305165,4.1404156130656675,8.759007204325101,3.1158765922671767,,,
