stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-51.05704028719585,3.02,-1280.0,-16.19,,30.0,27.0,29.0,25.0
max,0,153.12046444121916,37.03,2674.0,37.71,,47.0,64.0,35.0,100.0
mean,0,21.75143858035367,26.584783827061646,585.5858686949559,7.712648118494796,,42.266613290632506,51.06765412329864,31.027822257806246,52.08947157726181
std_dev,0,21.18996785606731,7.31631378637681,521.5220394864785,6.931799943993047,,2.4871590579524776,8.8035520734744,1.720112009887596,12.862505404713307
min,1,-46.34255129348795,3.15,-1193.0,-15.28,,23.0,23.0,22.0,21.0
max,1,271.7647058823529,38.16,2735.0,39.73,,44.0,61.0,30.0,99.0
mean,1,19.851248453567745,26.66640018484288,523.1476432532347,7.001109057301294,,37.93438077634011,47.21118299445472,26.503927911275415,52.384935304990755
std_dev,1,22.16204884724005,8.771367079981685,503.67619455040165,6.763158116852558,,3.8799694836441487,10.263491616750422,2.5361692890462284,14.404139893744086
min,2,-41.35649296939619,3.05,-1229.0,-14.69,,33.0,28.0,30.0,38.0
max,2,278.83369330453564,33.84,1992.0,25.68,,48.0,55.0,32.0,100.0
mean,2,20.818150929799792,24.06643216080402,497.98707824838476,6.328119167264895,,42.735821966977745,44.82914572864322,30.792534099066764,56.84493898061737
std_dev,2,20.592026254945562,7.605856765695729,412.78585157253406,5.27065201763506,,2.5925985638651614,6.930397056685546,0.6618847766372913,13.033075085725976
min,3,-48.94695787831513,3.08,-1255.0,-15.62,,34.0,37.0,32.0,26.0
max,3,190.89253187613843,36.63,2868.0,40.93,,50.0,67.0,36.0,98.0
mean,3,22.82521233264901,28.388037513025353,647.1594303577631,8.723890239666552,,45.204237582493924,55.098992705800626,33.55088572420979,48.62869051754081
std_dev,3,21.222625985288033,6.577796971576974,505.6009400410065,6.8467792306802675,,3.068247814238741,7.991456241245985,1.4085876841236857,11.564756646990798
min,4,-54.73407364114553,3.29,-1873.0,-24.35,0.0,29.0,,,
max,4,220.30716723549486,38.98,4074.0,63.73,0.0,56.0,,,
mean,4,19.825331192916885,27.64462374014309,543.6459867355998,7.28625359026581,0.0,49.104026319912265,,,
std_dev,4,22.05971858502166,8.129693275519305,536.9233308489656,7.269581595071307,0.0,4.009472669421248,,,
