datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,energy_consumption,energy_consumed,battery,battery_corrected_voltage,temp,temp_motor,temp_batt,temp_cpu,temp_imu,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-10-27T08:37:25.465+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:25.000+0100,10,1,0.001,48.0072817,-2.0854000,0.00,0.49,2.08,2.08,181.6,106,2,,euc.battery1Imbalance=0.004
2025-10-27T08:37:25.698+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:26.000+0100,11,1,0.001,48.0072817,-2.0853967,0.00,0.44,2.08,2.08,181.1,106,3,,euc.battery2Imbalance=0.006
2025-10-27T08:37:25.867+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:26.000+0100,11,1,0.001,48.0072817,-2.0853967,0.00,0.44,2.08,2.08,181.1,106,3,,euc.distance=0
2025-10-27T08:37:26.192+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:26.000+0100,11,1,0.001,48.0072817,-2.0853967,0.00,0.44,2.08,2.08,181.1,106,3,,euc.distanceUser=0
2025-10-27T08:37:26.488+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:26.000+0100,11,1,0.001,48.0072817,-2.0853967,0.00,0.44,2.08,2.08,181.1,106,3,,euc.distanceTotal=0
2025-10-27T08:37:26.911+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:27.000+0100,12,1,0.001,48.0072800,-2.0853983,0.84,0.47,2.08,2.08,180.9,105,2,,euc.firmware=GW1825090
2025-10-27T08:37:27.100+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:27.000+0100,12,1,0.001,48.0072800,-2.0853983,0.84,0.47,2.08,2.08,180.9,105,2,,euc.make=Begode
2025-10-27T08:37:27.411+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:27.000+0100,12,1,0.001,48.0072800,-2.0853983,0.84,0.47,2.08,2.08,180.9,105,2,,euc.model=Extreme
2025-10-27T08:37:27.717+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:28.000+0100,13,1,0.001,48.0072783,-2.0854000,0.75,0.50,2.08,2.08,179.9,98,2,,euc.name=EXTREME
2025-10-27T08:37:28.267+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,13,,,,,100,,,,,,0,2025-10-27T08:37:28.000+0100,13,1,0.001,48.0072783,-2.0854000,0.75,0.50,2.08,2.08,179.9,98,2,,euc.type=GOTWAY
2025-10-27T08:37:28.971+0100,0,0,0.000,0.000,0.00,0.00,0.00,0.00,,0.00,130.39,0.00,0.00,0,,,98,,14,,,,,100,,,,,,0,2025-10-27T08:37:29.000+0100,14,1,0.001,48.0072800,-2.0854033,0.00,0.46,2.08,2.08,179.1,98,2,,euc.btAddress=18:7A:3E:9C:56:FC
