datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,energy_consumption,energy_consumed,battery,battery_corrected_voltage,temp,temp_motor,temp_batt,temp_cpu,temp_imu,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-12-28T14:04:28.561-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.12,-0.18,,-42,,,100,232.07,21,26,,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:28.000-0700,1,1,0.001,33.3520609,-112.0751068,2.02,2.15,2.27,2.52,413.5,87,4,,euc.batteryCircuitResistance=0.3
2025-12-28T14:04:28.997-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.12,-0.08,,-19,,,100,232.11,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:29.000-0700,2,2,0.001,33.3520586,-112.0751029,1.87,2.08,2.27,2.52,413.5,87,4,,euc.battery1Imbalance=0.009
2025-12-28T14:04:29.538-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.10,-0.18,,-42,,,100,232.05,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:29.000-0700,2,2,0.001,33.3520586,-112.0751029,1.87,2.08,2.27,2.52,413.5,87,4,,euc.distance=0
2025-12-28T14:04:29.908-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.10,-0.12,,-28,,,100,232.06,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:30.000-0700,3,2,0.001,33.3520516,-112.0751040,1.19,1.90,2.27,2.52,412.6,87,4,,euc.distanceUser=508.887
2025-12-28T14:04:30.335-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.11,-0.02,,-5,,,100,232.10,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:30.000-0700,3,2,0.001,33.3520516,-112.0751040,1.19,1.90,2.27,2.52,412.6,87,4,,euc.distanceTotal=513.162
2025-12-28T14:04:30.697-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.12,-0.12,,-28,,,100,232.09,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:30.000-0700,4,2,0.001,33.3520516,-112.0751040,1.19,1.90,2.27,2.52,412.6,87,4,,euc.energyConsumedTotal=19291
2025-12-28T14:04:31.213-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.11,-0.06,,-14,,,100,232.09,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:31.000-0700,4,2,0.003,33.3520303,-112.0751150,10.15,3.28,4.90,10.15,411.8,87,4,,euc.energyConsumptionTotalAvg=35.7
2025-12-28T14:04:31.549-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.09,-0.18,,-42,,,100,232.04,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:31.000-0700,4,2,0.003,33.3520303,-112.0751150,10.15,3.28,4.90,10.15,411.8,87,4,,euc.firmware=1.9.120
2025-12-28T14:04:31.964-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.10,-0.02,,-5,,,100,232.09,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:32.000-0700,5,3,0.003,33.3520359,-112.0751104,0.00,2.81,4.90,10.15,412.3,87,4,,euc.firmwareBattery1=2.2.71
2025-12-28T14:04:32.423-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.10,-0.12,,-28,,,100,232.06,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:32.000-0700,5,3,0.003,33.3520359,-112.0751104,0.00,2.81,4.90,10.15,412.3,87,4,,euc.firmwareBattery2=2.2.71
2025-12-28T14:04:32.808-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.10,-0.08,,-19,,,100,232.08,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:32.000-0700,6,3,0.003,33.3520359,-112.0751104,0.00,2.81,4.90,10.15,412.3,87,4,,euc.firmwareBluetooth=1.4.34
2025-12-28T14:04:33.225-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.11,-0.08,,-19,,,100,232.09,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:33.000-0700,6,3,0.003,33.3520359,-112.0751085,1.08,2.59,4.90,10.15,412.2,87,4,,euc.firmwareInverter=8.3.22
2025-12-28T14:04:33.707-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.11,-0.14,,-32,,,100,232.07,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:33.000-0700,7,3,0.003,33.3520359,-112.0751085,1.08,2.59,4.90,10.15,412.2,87,4,,euc.make=Inmotion
2025-12-28T14:04:33.977-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.12,-0.18,,-42,,,100,232.07,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:34.000-0700,7,3,0.003,33.3520349,-112.0751055,1.48,2.47,4.90,10.15,412.5,87,4,,euc.model=P6
2025-12-28T14:04:34.391-0700,0,0,0.000,513.162,0.00,0.00,0.00,0.00,113.71,0.00,232.12,-0.12,,-28,,,100,232.08,21,26,21,,21,100,,-66.6,2.6,,,0,2025-12-28T14:04:34.000-0700,7,3,0.003,33.3520349,-112.0751055,1.48,2.47,4.90,10.15,412.5,87,4,,euc.serial=A14219A150009559
2025-12-28T14:04:35.925-0700,0,0,0.000,513.162,0.91,0.06,0.91,0.91,113.71,0.84,232.09,-0.19,,-44,-48.4,-0,100,232.03,21,26,21,,21,100,,-10.3,1.5,,,0,2025-12-28T14:04:36.000-0700,9,3,0.003,33.3520414,-112.0750923,0.76,2.09,4.90,10.15,413.7,87,4,,euc.serialBattery1=this is default mess
2025-12-28T14:04:36.251-0700,0,1,0.000,513.162,0.08,0.06,0.91,0.91,113.71,-2.24,232.64,0.06,,14,,-0,100,232.66,21,26,21,,21,100,,-3.1,1.0,,,0,2025-12-28T14:04:36.000-0700,9,3,0.003,33.3520414,-112.0750923,0.76,2.09,4.90,10.15,413.7,87,4,,euc.serialBattery2=this is default mess
2025-12-28T14:04:36.630-0700,0,1,0.000,513.162,0.00,0.06,0.91,0.91,113.71,-0.34,232.65,-0.02,,-5,,-0,100,232.64,21,26,21,,21,99,,0.0,-1.5,,,0,2025-12-28T14:04:36.000-0700,10,3,0.003,33.3520414,-112.0750923,0.76,2.09,4.90,10.15,413.7,87,4,,euc.type=INMOTION_NEW
2025-12-28T14:04:36.992-0700,1,1,0.000,513.162,0.49,0.08,0.91,0.91,113.71,1.60,232.65,0.02,,5,,-0,100,232.66,21,26,21,,21,98,,0.1,-2.6,,,0,2025-12-28T14:04:37.000-0700,10,3,0.003,33.3520438,-112.0750901,0.00,1.91,4.90,10.15,413.6,87,4,,euc.btAddress=E9:A8:39:04:B4:8C
2025-12-28T14:04:38.688-0700,2,1,0.000,513.162,0.13,0.08,0.91,0.91,113.71,-0.02,232.62,0.02,,5,,-0,100,232.63,21,26,21,,21,99,,0.0,3.2,,,0,2025-12-28T14:04:38.000-0700,12,3,0.003,33.3520461,-112.0750873,0.00,1.77,4.90,10.15,413.9,87,4,,euc.btName=P6-50009559
2025-12-28T14:04:40.497-0700,4,1,0.000,513.162,0.49,0.10,0.91,0.91,113.71,0.37,232.62,-0.06,,-14,,-0,100,232.60,21,26,21,,21,98,,0.0,1.4,,,0,2025-12-28T14:04:40.000-0700,13,3,0.003,33.3520447,-112.0750892,0.00,1.53,4.90,10.15,413.7,87,4,,euc.speedCorrection=-6
2025-12-28T14:04:40.881-0700,4,1,0.000,513.162,0.00,0.10,0.91,0.91,113.71,-1.31,232.60,0.06,,14,,-0,100,232.62,21,26,21,,21,97,,0.0,1.4,,,0,2025-12-28T14:04:40.000-0700,14,3,0.003,33.3520447,-112.0750892,0.00,1.53,4.90,10.15,413.7,,4,,euc.distCorrection=-5
2025-12-28T14:04:41.239-0700,5,1,0.000,513.162,0.47,0.11,0.91,0.91,113.71,1.31,232.58,0.00,,0,,-0,100,232.58,21,26,21,,21,99,,-0.0,-0.9,,,0,2025-12-28T14:04:41.000-0700,14,3,0.003,33.3520448,-112.0750893,0.00,1.44,4.90,10.15,413.6,,4,,info.manufacturer=samsung
2025-12-28T14:04:41.616-0700,5,1,0.000,513.162,0.00,0.11,0.91,0.91,113.71,-1.39,232.64,0.02,,5,,-0,100,232.65,21,26,21,,21,96,,0.1,-1.9,,,0,2025-12-28T14:04:41.000-0700,15,3,0.003,33.3520448,-112.0750893,0.00,1.44,4.90,10.15,413.6,,4,,info.brand=samsung
