datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,battery,temp,temp_motor,temp_batt,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-07-16T18:15:42.385+0200,3094,1020,6.440,244.090,0.00,17.98,22.91,34.39,35.00,0.00,79.93,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:42.000+0200,2997,948,5.994,48.1108033,-1.7025300,0.00,6.83,21.46,32.26,36.5,57,4,,euc.batteryCircuitResistance=0.2
2025-07-16T18:15:42.792+0200,3095,1020,6.450,244.090,0.00,17.98,22.91,34.39,35.00,0.00,79.93,0.07,,6,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:42.000+0200,2998,948,5.994,48.1108033,-1.7025300,0.00,6.83,21.46,32.26,36.5,57,4,,euc.battery1Imbalance=0.005
2025-07-16T18:15:43.329+0200,3095,1020,6.450,244.090,0.00,17.97,22.91,34.39,35.00,0.00,79.94,0.06,,5,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:43.000+0200,2998,948,5.994,48.1107600,-1.7025033,0.44,6.83,21.46,32.26,38.3,119,4,,euc.battery2Imbalance=0.007
2025-07-16T18:15:43.913+0200,3096,1020,6.450,244.090,0.00,17.97,22.91,34.39,35.00,0.00,79.90,0.13,,10,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:43.000+0200,2999,948,5.994,48.1107600,-1.7025033,0.44,6.83,21.46,32.26,38.3,119,4,,euc.distance=6.44
2025-07-16T18:15:44.941+0200,3096,1020,6.450,244.090,0.00,17.96,22.91,34.39,35.00,0.00,79.90,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:45.000+0200,3000,948,5.994,48.1107667,-1.7025133,0.00,6.82,21.46,32.26,37.9,119,4,,euc.distanceUser=30.51
2025-07-16T18:15:45.499+0200,3097,1020,6.450,244.090,0.00,17.95,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:45.000+0200,3001,948,5.994,48.1107667,-1.7025133,0.00,6.82,21.46,32.26,37.9,119,4,,euc.distanceTotal=244.09
2025-07-16T18:15:45.514+0200,3097,1020,6.450,244.090,0.00,17.95,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:45.000+0200,3001,948,5.994,48.1107667,-1.7025133,0.00,6.82,21.46,32.26,37.9,119,4,,euc.energyConsumedTotal=4939
2025-07-16T18:15:45.529+0200,3097,1020,6.450,244.090,0.00,17.95,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:45.000+0200,3001,948,5.994,48.1107667,-1.7025133,0.00,6.82,21.46,32.26,37.9,119,4,,euc.energyConsumptionTotalAvg=20.2
2025-07-16T18:15:46.245+0200,3098,1020,6.450,244.090,0.00,17.94,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:46.000+0200,3001,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.firmware=1.8.36
2025-07-16T18:15:46.271+0200,3098,1020,6.450,244.090,0.00,17.94,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:46.000+0200,3001,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.firmwareBattery1=0.0.14
2025-07-16T18:15:46.853+0200,3099,1020,6.450,244.090,0.00,17.92,22.91,34.39,35.00,0.00,79.92,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:46.000+0200,3002,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.firmwareBattery2=0.0.14
2025-07-16T18:15:46.870+0200,3099,1020,6.450,244.090,0.00,17.92,22.91,34.39,35.00,0.00,79.92,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:46.000+0200,3002,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.firmwareBluetooth=1.4.10
2025-07-16T18:15:46.886+0200,3099,1020,6.450,244.090,0.00,17.92,22.91,34.39,35.00,0.00,79.92,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:46.000+0200,3002,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.firmwareInverter=7.4.38
2025-07-16T18:15:47.578+0200,3100,1020,6.450,244.090,0.00,17.91,22.91,34.39,35.00,0.00,79.92,0.04,,3,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:47.000+0200,3003,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,3,,euc.make=Inmotion
2025-07-16T18:15:47.593+0200,3100,1020,6.450,244.090,0.00,17.91,22.91,34.39,35.00,0.00,79.92,0.04,,3,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:47.000+0200,3003,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,3,,euc.model=V9
2025-07-16T18:15:48.106+0200,3100,1020,6.450,244.090,0.00,17.90,22.91,34.39,35.00,0.00,79.90,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:48.000+0200,3003,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.serial=A1421911600183A4
2025-07-16T18:15:48.121+0200,3100,1020,6.450,244.090,0.00,17.90,22.91,34.39,35.00,0.00,79.90,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:48.000+0200,3003,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.serialBattery1=BW268Y00720S103A624
2025-07-16T18:15:48.138+0200,3100,1020,6.450,244.090,0.00,17.90,22.91,34.39,35.00,0.00,79.90,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:48.000+0200,3003,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.serialBattery2=BW268Y00720S103A624
2025-07-16T18:15:48.872+0200,3101,1020,6.450,244.090,0.00,17.89,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:48.000+0200,3004,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.type=INMOTION_NEW
2025-07-16T18:15:48.895+0200,3101,1020,6.450,244.090,0.00,17.89,22.91,34.39,35.00,0.00,79.89,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:48.000+0200,3004,948,5.994,48.1107650,-1.7025167,0.00,6.82,21.46,32.26,37.7,119,4,,euc.btAddress=EB:56:EB:9A:4E:F3
2025-07-16T18:15:49.458+0200,3101,1020,6.450,244.090,0.00,17.88,22.91,34.39,35.00,0.00,79.90,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:49.000+0200,3005,948,5.994,48.1107650,-1.7025167,0.00,6.81,21.46,32.26,37.7,119,4,,euc.btName=V9-600183A4
2025-07-16T18:15:49.476+0200,3101,1020,6.450,244.090,0.00,17.88,22.91,34.39,35.00,0.00,79.90,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:49.000+0200,3005,948,5.994,48.1107650,-1.7025167,0.00,6.81,21.46,32.26,37.7,119,4,,euc.speedCorrection=0
2025-07-16T18:15:49.980+0200,3102,1020,6.450,244.090,0.00,17.87,22.91,34.39,35.00,0.00,79.87,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:50.000+0200,3005,948,5.994,48.1107650,-1.7025167,0.00,6.81,21.46,32.26,37.7,119,4,,euc.distCorrection=0
2025-07-16T18:15:49.999+0200,3102,1020,6.450,244.090,0.00,17.87,22.91,34.39,35.00,0.00,79.87,0.09,,7,87,32,37,32,100,,-58.0,5.3,,,0,2025-07-16T18:15:50.000+0200,3005,948,5.994,48.1107650,-1.7025167,0.00,6.81,21.46,32.26,37.7,119,4,,info.manufacturer=TCL
