datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,battery,temp,temp_motor,temp_batt,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-07-27T06:07:22.658-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,,151.09,0.00,0.00,0,100,,,,100,,63.4,,,,0,2025-07-27T06:07:22.000-0700,,,,46.9972944,-122.7894851,,,,,,,5,,euc.batteryCircuitResistance=0.12
2025-07-27T06:07:22.773-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.06,0.00,0.00,0,100,,,,100,,63.4,,,,0,2025-07-27T06:07:22.000-0700,,,,46.9972944,-122.7894851,,,,,,,5,,euc.distance=0
2025-07-27T06:07:22.986-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,,,,100,,63.4,,,,0,2025-07-27T06:07:22.000-0700,0,0,,46.9972944,-122.7894851,,,,,,,5,,euc.distanceUser=534.387
2025-07-27T06:07:23.181-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,,,,100,,63.4,,,,0,2025-07-27T06:07:22.000-0700,0,0,,46.9972944,-122.7894851,,,,,,,5,,euc.distanceTotal=536.039
2025-07-27T06:07:23.385-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:23.000-0700,0,0,0.000,46.9972946,-122.7894852,0.00,0.00,0.00,0.00,54.1,,6,,euc.firmware=5.0.13
2025-07-27T06:07:23.597-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:23.000-0700,0,0,0.000,46.9972946,-122.7894852,0.00,0.00,0.00,0.00,54.1,,6,,euc.make=Veteran
2025-07-27T06:07:23.794-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.11,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:23.000-0700,0,0,0.000,46.9972946,-122.7894852,0.00,0.00,0.00,0.00,54.1,,6,,euc.model=Lynx
2025-07-27T06:07:23.980-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:23.000-0700,0,0,0.000,46.9972946,-122.7894852,0.00,0.00,0.00,0.00,54.1,,6,,euc.type=VETERAN
2025-07-27T06:07:24.183-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.08,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:23.000-0700,0,0,0.000,46.9972946,-122.7894852,0.00,0.00,0.00,0.00,54.1,,6,,euc.btAddress=88:25:83:F5:8D:51
2025-07-27T06:07:24.408-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:24.000-0700,0,0,0.000,46.9972948,-122.7894852,0.00,0.00,0.00,0.00,54.2,,5,,euc.btName=LK16028
2025-07-27T06:07:24.575-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:24.000-0700,0,0,0.000,46.9972948,-122.7894852,0.00,0.00,0.00,0.00,54.2,,5,,euc.speedCorrection=-3
2025-07-27T06:07:24.794-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.08,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:24.000-0700,0,0,0.000,46.9972948,-122.7894852,0.00,0.00,0.00,0.00,54.2,,5,,euc.distCorrection=0
2025-07-27T06:07:24.992-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.08,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:24.000-0700,0,0,0.000,46.9972948,-122.7894852,0.00,0.00,0.00,0.00,54.2,,5,,info.manufacturer=samsung
2025-07-27T06:07:25.202-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:24.000-0700,0,0,0.000,46.9972948,-122.7894852,0.00,0.00,0.00,0.00,54.2,,5,,info.brand=samsung
2025-07-27T06:07:25.405-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:25.000-0700,0,0,0.000,46.9972940,-122.7894846,0.00,0.00,0.00,0.00,54.0,,5,,info.device=p3q
2025-07-27T06:07:25.605-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.08,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:25.000-0700,0,0,0.000,46.9972940,-122.7894846,0.00,0.00,0.00,0.00,54.0,,5,,info.display=AP3A.240905.015.A2.G998USQSGHYF2
2025-07-27T06:07:25.807-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:25.000-0700,0,0,0.000,46.9972940,-122.7894846,0.00,0.00,0.00,0.00,54.0,,5,,info.id=AP3A.240905.015.A2
2025-07-27T06:07:25.998-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:25.000-0700,0,0,0.000,46.9972940,-122.7894846,0.00,0.00,0.00,0.00,54.0,,5,,info.model=SM-G998U
2025-07-27T06:07:26.193-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:25.000-0700,0,0,0.000,46.9972940,-122.7894846,0.00,0.00,0.00,0.00,54.0,,5,,info.product=p3qsqw
2025-07-27T06:07:26.393-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.06,0.00,0.00,0,100,21,,,100,,63.4,-0.1,,,0,2025-07-27T06:07:26.000-0700,0,0,0.000,46.9972943,-122.7894844,0.00,0.00,0.00,0.00,54.0,,5,,info.sdk=35
2025-07-27T06:07:26.595-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,18,100,,63.4,-0.1,,,0,2025-07-27T06:07:26.000-0700,0,0,0.000,46.9972943,-122.7894844,0.00,0.00,0.00,0.00,54.0,,5,,info.instance=4adc73805ae7a94b
2025-07-27T06:07:26.798-0700,0,0,0.000,536.039,0.00,0.00,0.00,0.00,73.72,0.00,151.09,0.00,0.00,0,100,21,,18,100,,63.4,-0.1,,,0,2025-07-27T06:07:26.000-0700,0,0,0.000,46.9972943,-122.7894844,0.00,0.00,0.00,0.00,54.0,,5,,info.appVersionName=2.54.0
