datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,energy_consumption,energy_consumed,battery,battery_corrected_voltage,temp,temp_motor,temp_batt,temp_cpu,temp_imu,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-08-11T06:26:49.032-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,,151.31,0.00,0.00,0,,,100,151.31,,,,,31,100,,61.7,,,,0,,,,,,,,,,,,,,,euc.batteryCircuitResistance=0.13
2025-08-11T06:26:49.203-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.33,0.00,0.00,0,,,100,151.33,,,,,31,100,,61.7,,,,0,,,,,,,,,,,,,,,euc.distance=0
2025-08-11T06:26:49.395-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.33,0.00,0.00,0,,,100,151.33,,,,,31,100,,61.6,,,,0,,,,,,,,,,,,,,,euc.distanceUser=864.192
2025-08-11T06:26:49.596-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.33,0.00,0.00,0,,,100,151.33,,,,,31,100,,61.6,,,,0,,,,,,,,,,,,,,,euc.distanceTotal=865.827
2025-08-11T06:26:49.796-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.31,0.00,0.00,0,,,100,151.31,,,,,31,100,,61.7,,,,0,2025-08-11T06:26:50.000-0700,,,0.000,46.9972694,-122.7895329,1.94,1.94,0.00,1.94,54.8,286,14,,euc.firmware=5.0.13
2025-08-11T06:26:49.995-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.33,0.00,0.00,0,,,100,151.33,22,,,41,31,100,,61.6,1.1,,,0,2025-08-11T06:26:50.000-0700,,,0.000,46.9972694,-122.7895329,1.94,1.94,0.00,1.94,54.8,286,14,,euc.make=Veteran
2025-08-11T06:26:50.221-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.31,0.00,0.00,0,,,100,151.32,22,,,41,31,100,,61.7,1.1,,,0,2025-08-11T06:26:50.000-0700,0,0,0.000,46.9972694,-122.7895329,1.94,1.94,0.00,1.94,54.8,286,14,,euc.model=Lynx
2025-08-11T06:26:50.421-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.31,0.00,0.00,0,,,100,151.32,22,,,41,31,100,,61.7,1.1,,,0,2025-08-11T06:26:50.000-0700,0,0,0.000,46.9972694,-122.7895329,1.94,1.94,0.00,1.94,54.8,286,14,,euc.type=VETERAN
2025-08-11T06:26:50.586-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.33,0.00,0.00,0,,,100,151.33,22,,,41,31,100,,61.6,1.1,,,0,2025-08-11T06:26:50.000-0700,0,0,0.000,46.9972694,-122.7895329,1.94,1.94,0.00,1.94,54.8,286,14,,euc.btAddress=88:25:83:F5:8D:51
2025-08-11T06:26:50.794-0700,0,0,0.000,865.827,0.00,0.00,0.00,0.00,85.36,0.00,151.33,0.00,0.00,0,,,100,151.33,22,,,41,31,100,,61.6,1.1,,,0,2025-08-11T06:26:51.000-0700,0,0,0.003,46.9972978,-122.7895283,6.70,4.32,6.70,6.70,60.0,275,11,,euc.btName=LK16028
