datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,battery,temp,temp_motor,temp_batt,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-07-07T17:42:55.495+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.00,0.09,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.distance=0
2025-07-07T17:42:55.907+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.02,0.09,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.distanceUser=0
2025-07-07T17:42:56.387+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.05,0.07,,6,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.distanceTotal=213.58
2025-07-07T17:42:56.829+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.03,0.09,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.energyConsumedTotal=4277.9
2025-07-07T17:42:57.422+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.04,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.energyConsumptionTotalAvg=20
2025-07-07T17:42:57.677+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.05,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.firmware=1.8.36
2025-07-07T17:42:59.020+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.04,0.06,,5,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.firmwareBattery1=0.0.14
2025-07-07T17:42:59.273+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.03,0.07,,6,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.firmwareBattery2=0.0.14
2025-07-07T17:42:59.501+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.03,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.firmwareBluetooth=1.4.10
2025-07-07T17:42:59.774+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.04,0.04,,3,100,30,27,29,100,,-59.2,3.3,,,0,,,,,,,,,,,,,,,euc.firmwareInverter=7.4.38
2025-07-07T17:43:00.007+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.02,0.09,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.make=Inmotion
2025-07-07T17:43:00.284+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.04,0.06,,5,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.model=V9
2025-07-07T17:43:00.557+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.02,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.serial=A1421911600183A4
2025-07-07T17:43:01.324+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.00,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.serialBattery1=BW268Y00720S103A624
2025-07-07T17:43:01.343+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.00,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.serialBattery2=BW268Y00720S103A624
2025-07-07T17:43:01.835+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.00,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.type=INMOTION_NEW
2025-07-07T17:43:01.850+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.00,0.08,,7,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.btAddress=EB:56:EB:9A:4E:F3
2025-07-07T17:43:02.363+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.04,0.04,,3,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.btName=V9-600183A4
2025-07-07T17:43:02.382+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.04,0.04,,3,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.speedCorrection=0
2025-07-07T17:43:02.993+0200,0,0,0.000,213.580,0.00,0.00,0.00,0.00,35.00,0.00,82.03,0.12,,10,100,30,27,29,100,,-59.1,3.3,,,0,,,,,,,,,,,,,,,euc.distCorrection=0
