date,time,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2023-06-04,16:45:21.549,3.75,56.84,0.00,0.54,30.69,0.00,5.19,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:21.633,3.44,56.84,0.00,0.54,30.69,0.00,4.76,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:21.697,2.62,56.84,0.00,0.54,30.69,0.00,3.63,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:21.769,2.31,56.84,0.00,0.34,19.33,0.00,3.20,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:21.865,2.85,56.84,0.00,0.33,18.76,0.00,3.94,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:21.939,4.11,57.10,0.00,0.30,17.13,0.00,5.66,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:22.017,5.01,57.10,0.00,0.30,17.13,0.00,6.90,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:22.129,5.35,57.10,0.00,0.30,17.13,0.00,7.37,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:22.240,4.99,57.10,0.00,0.30,17.13,0.00,6.87,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:22.353,4.05,57.10,0.00,4.47,255.24,0.00,5.58,100,0,592565,24,0,0.00,0.00,,
2023-06-04,16:45:22.424,4.57,56.63,0.00,3.45,195.37,0.00,6.35,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:22.505,4.74,56.63,0.00,3.45,195.37,0.00,6.58,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:22.570,4.91,56.63,0.00,1.28,72.49,0.00,6.82,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:22.696,5.19,56.63,0.00,1.71,96.84,0.00,7.21,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:22.885,7.92,56.03,0.00,3.13,175.37,0.00,11.12,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:22.953,8.43,56.03,0.00,7.25,406.22,0.00,11.84,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:23.051,8.64,56.03,0.00,9.66,541.25,0.00,12.13,100,1,592566,24,0,0.00,0.00,,
2023-06-04,16:45:23.172,8.47,56.03,0.00,9.66,541.25,0.00,11.89,100,2,592567,24,0,0.00,0.00,,
2023-06-04,16:45:23.275,8.16,56.03,0.00,11.83,662.83,0.00,11.46,100,2,592567,24,0,0.00,0.00,,
2023-06-04,16:45:23.387,8.05,56.03,0.00,11.17,625.86,0.00,11.30,100,2,592567,24,0,0.00,0.00,,
2023-06-04,16:45:23.456,8.44,56.03,0.00,7.03,393.89,0.00,11.85,100,2,592567,24,0,0.00,0.00,,
2023-06-04,16:45:23.540,8.44,56.03,0.00,3.47,194.42,0.00,11.85,100,2,592567,24,0,0.00,0.00,,
2023-06-04,16:45:23.584,8.47,56.03,0.00,3.47,194.42,0.00,11.89,100,3,592568,24,0,0.00,0.00,,
2023-06-04,16:45:23.652,8.89,56.51,0.00,3.19,180.27,0.00,12.38,100,3,592568,24,0,0.00,0.00,,
2023-06-04,16:45:23.741,9.06,56.51,0.00,3.64,205.70,0.00,12.61,100,3,592568,24,0,0.00,0.00,,
2023-06-04,16:45:23.811,9.15,56.51,0.00,3.64,205.70,0.00,12.74,100,3,592568,24,0,0.00,0.00,,
2023-06-04,16:45:23.881,9.42,56.51,0.00,4.38,247.51,0.00,13.11,100,3,592568,24,0,0.00,0.00,,
2023-06-04,16:45:23.977,9.88,56.51,0.00,4.38,247.51,0.00,13.75,100,3,592568,24,0,0.00,0.00,,
2023-06-04,16:45:24.053,9.74,56.51,0.00,4.38,247.51,0.00,13.56,100,4,592569,24,0,0.00,0.00,,
2023-06-04,16:45:24.107,9.92,56.36,0.00,4.38,246.86,0.00,13.85,100,4,592569,24,0,0.00,0.00,,
